datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
1/1/21 5:00,1/1/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.29,19.47,0.2,-0.02
1/1/21 6:00,1/1/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.89,17.96,0.11,-0.04
1/1/21 7:00,1/1/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.82,17.78,0,-0.04
1/1/21 8:00,1/1/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.8,17.76,0,-0.04
1/1/21 9:00,1/1/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.88,17.83,0,-0.05
1/1/21 10:00,1/1/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.99,17.85,0,-0.14
1/1/21 11:00,1/1/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.97,17.86,-0.06,-0.05
1/1/21 12:00,1/1/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.88,18.6,-0.26,-0.02
1/1/21 13:00,1/1/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.41,18.95,-0.5,0.04
1/1/21 14:00,1/1/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.13,20.29,-0.86,0.02
1/1/21 15:00,1/1/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.03,20.23,-0.95,0.15
1/1/21 16:00,1/1/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21,20.13,-0.95,0.08
1/1/21 17:00,1/1/21 12:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.59,19.84,-0.85,0.1
1/1/21 18:00,1/1/21 13:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.79,19.41,-0.48,0.1
1/1/21 19:00,1/1/21 14:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.39,19.64,0.13,0.12
1/1/21 20:00,1/1/21 15:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.94,19.49,0.41,0.14
1/1/21 21:00,1/1/21 16:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.15,21.77,0.35,0.27
1/1/21 22:00,1/1/21 17:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.76,23.56,-0.47,0.27
1/1/21 23:00,1/1/21 18:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.49,23.6,-0.05,0.16
1/2/21 0:00,1/1/21 19:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.2,22.18,-0.12,0.1
1/2/21 1:00,1/1/21 20:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.16,22.19,-0.12,0.15
1/2/21 2:00,1/1/21 21:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.96,20.14,0,0.18
1/2/21 3:00,1/1/21 22:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.86,18,0.02,0.12
1/2/21 4:00,1/1/21 23:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.07,17.34,0.04,0.23
1/2/21 5:00,1/2/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,16.99,17.27,0.14,0.14
1/2/21 6:00,1/2/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.01,17.19,0.01,0.17
1/2/21 7:00,1/2/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,16.61,16.65,-0.06,0.1
1/2/21 8:00,1/2/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,16.09,15.97,-0.11,-0.01
1/2/21 9:00,1/2/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,16.33,16.07,-0.17,-0.09
1/2/21 10:00,1/2/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,16.65,16.33,-0.29,-0.03
1/2/21 11:00,1/2/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.14,16.77,-0.34,-0.03
1/2/21 12:00,1/2/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.65,18.17,-0.44,-0.04
1/2/21 13:00,1/2/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.69,19.15,-0.55,0.01
1/2/21 14:00,1/2/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.27,20.82,-0.39,-0.06
1/2/21 15:00,1/2/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.8,21.62,-0.28,0.1
1/2/21 16:00,1/2/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.28,21.25,-0.14,0.11
1/2/21 17:00,1/2/21 12:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.62,19.6,-0.13,0.11
1/2/21 18:00,1/2/21 13:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.97,19.02,-0.04,0.09
1/2/21 19:00,1/2/21 14:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.42,18.35,-0.18,0.11
1/2/21 20:00,1/2/21 15:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.73,18.7,-0.18,0.15
1/2/21 21:00,1/2/21 16:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.87,21.2,0.18,0.15
1/2/21 22:00,1/2/21 17:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.99,24.65,0.56,0.1
1/2/21 23:00,1/2/21 18:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.7,24.04,0.39,-0.05
1/3/21 0:00,1/2/21 19:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.04,23.17,0.17,-0.04
1/3/21 1:00,1/2/21 20:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.39,22.34,-0.06,0.01
1/3/21 2:00,1/2/21 21:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.51,21.42,-0.09,0
1/3/21 3:00,1/2/21 22:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.01,20.02,-0.02,0.03
1/3/21 4:00,1/2/21 23:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.59,18.79,0.19,0.01
1/3/21 5:00,1/3/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.74,18.84,0.15,-0.05
1/3/21 6:00,1/3/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.5,17.42,0,-0.08
1/3/21 7:00,1/3/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.07,16.94,-0.05,-0.08
1/3/21 8:00,1/3/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.09,16.91,-0.07,-0.11
1/3/21 9:00,1/3/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.13,16.94,-0.07,-0.12
1/3/21 10:00,1/3/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.02,16.68,-0.13,-0.21
1/3/21 11:00,1/3/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,17.35,17.01,-0.1,-0.24
1/3/21 12:00,1/3/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.52,17.95,-0.3,-0.27
1/3/21 13:00,1/3/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.46,19.82,-0.36,-0.28
1/3/21 14:00,1/3/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.02,20.54,-0.27,-0.21
1/3/21 15:00,1/3/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.88,21.48,-0.21,-0.19
1/3/21 16:00,1/3/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.29,22.16,-0.01,-0.12
1/3/21 17:00,1/3/21 12:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.81,21.74,0.08,-0.15
1/3/21 18:00,1/3/21 13:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.54,21.55,0.11,-0.1
1/3/21 19:00,1/3/21 14:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.24,21.26,0.1,-0.08
1/3/21 20:00,1/3/21 15:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.42,21.46,0.11,-0.07
1/3/21 21:00,1/3/21 16:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.38,23.56,0.17,0.01
1/3/21 22:00,1/3/21 17:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.16,26.1,-0.09,0.03
1/3/21 23:00,1/3/21 18:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.5,24.48,-0.12,0.1
1/4/21 0:00,1/3/21 19:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.76,23.3,-0.49,0.03
1/4/21 1:00,1/3/21 20:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.22,22.88,-0.36,0.02
1/4/21 2:00,1/3/21 21:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.48,22.05,-0.33,-0.1
1/4/21 3:00,1/3/21 22:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.74,20.29,-0.23,-0.22
1/4/21 4:00,1/3/21 23:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.81,19.62,-0.15,-0.04
1/4/21 5:00,1/4/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.07,19.01,0.09,-0.15
1/4/21 6:00,1/4/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.56,17.67,-0.65,-0.24
1/4/21 7:00,1/4/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.51,17.7,-0.63,-0.18
1/4/21 8:00,1/4/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.57,17.78,-0.55,-0.24
1/4/21 9:00,1/4/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,18.97,18.12,-0.61,-0.24
1/4/21 10:00,1/4/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.38,19.38,-0.68,-0.32
1/4/21 11:00,1/4/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.09,24.61,-1.09,-0.39
1/4/21 12:00,1/4/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,31.47,28.89,-2.24,-0.34
1/4/21 13:00,1/4/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,27,25.55,-1.2,-0.25
1/4/21 14:00,1/4/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.83,25.92,-0.78,-0.13
1/4/21 15:00,1/4/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.78,26.21,-0.5,-0.07
1/4/21 16:00,1/4/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.91,24.47,-0.44,0
1/4/21 17:00,1/4/21 12:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.25,23.19,-0.14,0.08
1/4/21 18:00,1/4/21 13:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.61,22.6,-0.1,0.09
1/4/21 19:00,1/4/21 14:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.5,22.43,-0.16,0.09
1/4/21 20:00,1/4/21 15:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.61,22.54,-0.18,0.11
1/4/21 21:00,1/4/21 16:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.32,23.51,0.1,0.09
1/4/21 22:00,1/4/21 17:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,29.71,30.06,0.29,0.06
1/4/21 23:00,1/4/21 18:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,27.29,27.21,-0.11,0.03
1/5/21 0:00,1/4/21 19:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.52,26.07,-0.3,-0.15
1/5/21 1:00,1/4/21 20:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.72,24.14,-0.47,-0.11
1/5/21 2:00,1/4/21 21:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.2,22.7,-0.44,-0.06
1/5/21 3:00,1/4/21 22:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.7,21.24,-0.37,-0.09
1/5/21 4:00,1/4/21 23:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.74,19.43,-0.14,-0.17
1/5/21 5:00,1/5/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.6,20.13,-0.45,-0.02
1/5/21 6:00,1/5/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.82,19.18,-0.61,-0.03
1/5/21 7:00,1/5/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.7,18.98,-0.65,-0.07
1/5/21 8:00,1/5/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.5,18.66,-0.75,-0.09
1/5/21 9:00,1/5/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,19.76,18.83,-0.89,-0.04
1/5/21 10:00,1/5/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.25,21.3,-0.87,-0.08
1/5/21 11:00,1/5/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,32.31,30.6,-1.94,0.23
1/5/21 12:00,1/5/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,35.33,33.28,-2.54,0.49
1/5/21 13:00,1/5/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,32.51,31.58,-1.59,0.66
1/5/21 14:00,1/5/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,31.59,31.02,-1.29,0.72
1/5/21 15:00,1/5/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,32.57,31.78,-1.49,0.7
1/5/21 16:00,1/5/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,31.72,30.97,-1.24,0.49
1/5/21 17:00,1/5/21 12:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,28.17,27.72,-0.92,0.47
1/5/21 18:00,1/5/21 13:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.77,26.53,-0.63,0.39
1/5/21 19:00,1/5/21 14:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26,25.75,-0.6,0.35
1/5/21 20:00,1/5/21 15:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,25.89,25.82,-0.44,0.37
1/5/21 21:00,1/5/21 16:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,27.51,27.94,-0.06,0.49
1/5/21 22:00,1/5/21 17:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,38.98,39.76,-0.03,0.81
1/5/21 23:00,1/5/21 18:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,33.25,33.36,-0.37,0.48
1/6/21 0:00,1/5/21 19:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,31.13,31.04,-0.44,0.35
1/6/21 1:00,1/5/21 20:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,32.01,31.14,-1.22,0.35
1/6/21 2:00,1/5/21 21:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,28.16,27.3,-1.05,0.19
1/6/21 3:00,1/5/21 22:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.48,24.05,-0.6,0.17
1/6/21 4:00,1/5/21 23:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.56,22.3,-0.44,0.18
1/6/21 5:00,1/6/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.89,23.01,-0.12,0.24
1/6/21 6:00,1/6/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.4,22.05,-0.44,0.09
1/6/21 7:00,1/6/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.8,21.29,-0.53,0.02
1/6/21 8:00,1/6/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.89,21.35,-0.53,-0.01
1/6/21 9:00,1/6/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.75,21.95,-0.68,-0.12
1/6/21 10:00,1/6/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.29,23.49,-0.83,0.03
1/6/21 11:00,1/6/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,32.67,30.9,-1.9,0.13
1/6/21 12:00,1/6/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,41.94,39.04,-3.2,0.3
1/6/21 13:00,1/6/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,36.2,35.44,-1.05,0.29
1/6/21 14:00,1/6/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,30.16,30.58,0.21,0.21
1/6/21 15:00,1/6/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,29.21,29.97,0.56,0.2
1/6/21 16:00,1/6/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,27.63,29.02,0.97,0.42
1/6/21 17:00,1/6/21 12:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.58,25.76,0.87,0.31
1/6/21 18:00,1/6/21 13:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.93,25.03,0.82,0.28
1/6/21 19:00,1/6/21 14:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.86,24.77,0.64,0.27
1/6/21 20:00,1/6/21 15:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.79,24.61,0.54,0.28
1/6/21 21:00,1/6/21 16:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.59,28.12,1.1,0.43
1/6/21 22:00,1/6/21 17:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,37.67,39.1,0.88,0.55
1/6/21 23:00,1/6/21 18:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,31.9,32.72,0.35,0.47
1/7/21 0:00,1/6/21 19:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,29.46,29.55,-0.33,0.42
1/7/21 1:00,1/6/21 20:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,27.66,26.93,-0.95,0.22
1/7/21 2:00,1/6/21 21:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.21,25.6,-0.67,0.06
1/7/21 3:00,1/6/21 22:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.72,23.47,-0.29,0.04
1/7/21 4:00,1/6/21 23:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.84,22.89,0.05,0
1/7/21 5:00,1/7/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.36,23.65,0.93,0.36
1/7/21 6:00,1/7/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.33,21.2,-0.29,0.16
1/7/21 7:00,1/7/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.72,20.54,-0.32,0.14
1/7/21 8:00,1/7/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,20.81,20.59,-0.36,0.14
1/7/21 9:00,1/7/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.19,21.87,-0.53,0.21
1/7/21 10:00,1/7/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.08,22.51,-0.66,0.09
1/7/21 11:00,1/7/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,27.59,26.47,-1.46,0.34
1/7/21 12:00,1/7/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,38.72,36.59,-2.58,0.45
1/7/21 13:00,1/7/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,30.67,30.14,-1.01,0.48
1/7/21 14:00,1/7/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.55,26.43,-0.53,0.41
1/7/21 15:00,1/7/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,25.97,26.32,-0.22,0.57
1/7/21 16:00,1/7/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,25.23,25.77,-0.09,0.63
1/7/21 17:00,1/7/21 12:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.37,23.96,-0.01,0.6
1/7/21 18:00,1/7/21 13:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.84,23.47,0.01,0.62
1/7/21 19:00,1/7/21 14:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.67,23.3,0.04,0.59
1/7/21 20:00,1/7/21 15:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.7,23.32,0.04,0.58
1/7/21 21:00,1/7/21 16:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.61,25.74,0.35,0.78
1/7/21 22:00,1/7/21 17:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,32.37,34.22,0.77,1.08
1/7/21 23:00,1/7/21 18:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,29.29,30.33,0.44,0.6
1/8/21 0:00,1/7/21 19:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,28.76,29.01,-0.21,0.46
1/8/21 1:00,1/7/21 20:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,28.71,28.39,-0.53,0.21
1/8/21 2:00,1/7/21 21:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.82,26.7,-0.34,0.22
1/8/21 3:00,1/7/21 22:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.24,24.32,-0.27,0.35
1/8/21 4:00,1/7/21 23:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.15,22.6,0.15,0.3
1/8/21 5:00,1/8/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.05,23.35,-0.11,0.41
1/8/21 6:00,1/8/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.25,21.95,-0.52,0.22
1/8/21 7:00,1/8/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.8,21.49,-0.5,0.19
1/8/21 8:00,1/8/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.79,21.46,-0.53,0.2
1/8/21 9:00,1/8/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.44,22.03,-0.57,0.16
1/8/21 10:00,1/8/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.64,22.97,-0.84,0.17
1/8/21 11:00,1/8/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,33.05,31.63,-1.65,0.23
1/8/21 12:00,1/8/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,41.12,36.22,-5.41,0.51
1/8/21 13:00,1/8/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,39.05,37.41,-2.1,0.46
1/8/21 14:00,1/8/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,33.04,32.72,-0.63,0.31
1/8/21 15:00,1/8/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,33,32.99,-0.59,0.58
1/8/21 16:00,1/8/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,32.19,32.24,-0.7,0.75
1/8/21 17:00,1/8/21 12:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,28.36,28.65,-0.33,0.62
1/8/21 18:00,1/8/21 13:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.58,27,-0.2,0.62
1/8/21 19:00,1/8/21 14:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,25.85,26.33,-0.12,0.6
1/8/21 20:00,1/8/21 15:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,25.57,25.69,-0.48,0.6
1/8/21 21:00,1/8/21 16:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,29.39,29.8,-0.19,0.6
1/8/21 22:00,1/8/21 17:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,37.64,38.62,0.09,0.89
1/8/21 23:00,1/8/21 18:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,31.64,31.96,-0.26,0.58
1/9/21 0:00,1/8/21 19:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,29.69,29.92,-0.19,0.42
1/9/21 1:00,1/8/21 20:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,29.41,29.22,-0.64,0.45
1/9/21 2:00,1/8/21 21:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.53,26.2,-0.5,0.17
1/9/21 3:00,1/8/21 22:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,25.11,25.18,-0.28,0.35
1/9/21 4:00,1/8/21 23:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.62,23.9,0.03,0.25
1/9/21 5:00,1/9/21 0:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.25,24.34,0.91,0.18
1/9/21 6:00,1/9/21 1:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.53,22.46,-0.04,-0.03
1/9/21 7:00,1/9/21 2:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,21.67,21.27,-0.37,-0.03
1/9/21 8:00,1/9/21 3:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.14,21.48,-0.6,-0.06
1/9/21 9:00,1/9/21 4:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,22.47,21.97,-0.56,0.06
1/9/21 10:00,1/9/21 5:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,23.1,22.27,-0.78,-0.05
1/9/21 11:00,1/9/21 6:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,25.1,22.09,-3.11,0.1
1/9/21 12:00,1/9/21 7:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,27.1,23.6,-3.67,0.17
1/9/21 13:00,1/9/21 8:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,28.44,25.88,-2.69,0.13
1/9/21 14:00,1/9/21 9:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,27.06,25.33,-1.73,0
1/9/21 15:00,1/9/21 10:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,26.28,26.14,-0.25,0.11
1/9/21 16:00,1/9/21 11:00,2156108940,VENANJCT,115 KV,T1,LOAD,PENELEC,24.31,24.52,0.04,0.17
